Scenario,FY,Net_CF_to_Consortium,Op_Fee,Consortium_Fees,CF_after_Fees,Interest_Rate,Interest_Cost,Mandatory_Amort,Recap_DeltaDebt,Cash_Sweep,Debt_End,FCF_for_Distribution,NAV_Multiple,NAV,LTV,PG_Share,Equity_Ticket,Equity_CF
Base,2024,46.8,2.34,0.2,44.25999999999999,0.062,-20.15,0.0,0.0,0.0,325.0,24.109999999999992,14.0,655.1999999999999,0.4960317460317461,0.29539375928677564,99.4,-92.27805646359585
Base,2025,50.3,2.515,0.0,47.785,0.056,-18.2,0.0,0.0,0.0,325.0,29.584999999999997,14.0,704.1999999999999,0.4615166145981256,0.29539375928677564,99.4,8.739224368499256
Base,2026,53.7,2.6850000000000005,0.0,51.015,0.057,-18.525000000000002,0.0,126.08000000000004,0.0,451.08000000000004,32.489999999999995,14.0,751.8000000000001,0.6,0.29539375928677564,99.4,9.597343239227339
Base,2027,56.3,2.815,0.0,53.485,0.057,-25.711560000000002,0.0,0.0,0.0,451.08000000000004,27.773439999999997,14.0,788.1999999999999,0.5722912966252222,0.29539375928677564,99.4,8.204100849925705
Base,2028,58.3,2.915,0.0,55.385,0.059,-26.61372,0.0,0.0,0.0,451.08000000000004,28.771279999999997,13.6,792.88,0.5689133286247604,0.29539375928677564,99.4,8.498856558692422
Base,2029,59.5,2.975,0.0,56.525,0.059,-26.61372,0.0,20.15999999999991,0.0,471.23999999999995,29.911279999999998,13.2,785.4,0.6,0.29539375928677564,99.4,8.835605444279345
Base,2030,60.3,3.015,0.0,57.285,0.06,-28.274399999999996,0.0,0.0,0.0,471.23999999999995,29.0106,12.8,771.84,0.6105410447761194,0.29539375928677564,99.4,8.569550193164932
Base,2031,61.2,3.0600000000000005,0.0,58.14,0.06,-28.274399999999996,0.0,0.0,0.0,471.23999999999995,29.865600000000004,12.4,758.8800000000001,0.6209677419354838,0.29539375928677564,99.4,8.822111857355127
Base,2032,62.2,3.1100000000000003,0.0,59.09,0.061,-28.745639999999998,0.0,0.0,0.0,471.23999999999995,30.344360000000005,12.0,746.4000000000001,0.6313504823151124,0.29539375928677564,99.4,8.963534573551264
Base,2033,63.3,3.165,0.0,60.135,0.061,-28.745639999999998,0.0,0.0,0.0,471.23999999999995,31.38936,12.0,759.5999999999999,0.6203791469194313,0.29539375928677564,99.4,9.272221052005944
Base,2034,64.3,3.215,0.0,61.084999999999994,0.062,-29.216879999999996,0.0,0.0,0.0,471.23999999999995,31.868119999999998,12.0,771.5999999999999,0.6107309486780715,0.29539375928677564,99.4,9.41364376820208
Base,2035,65.1,3.255,0.0,61.84499999999999,0.062,-29.216879999999996,0.0,0.0,0.0,471.23999999999995,32.628119999999996,12.0,781.1999999999999,0.603225806451613,0.29539375928677564,99.4,9.638143025260028
Base,2036,65.8,3.29,0.0,62.51,0.062,-29.216879999999996,0.0,0.0,0.0,471.23999999999995,33.29312,12.0,789.5999999999999,0.5968085106382979,0.29539375928677564,99.4,9.834579875185737
Base,2037,66.4,3.3200000000000003,0.0,63.080000000000005,0.062,-29.216879999999996,0.0,0.0,0.0,471.23999999999995,33.86312000000001,12.0,796.8000000000001,0.5914156626506023,0.29539375928677564,99.4,10.002954317979201
Base,2038,67.0,3.35,0.0,63.65,0.062,-29.216879999999996,0.0,0.0,0.0,471.23999999999995,34.43312,12.0,804.0,0.5861194029850746,0.29539375928677564,99.4,10.17132876077266
Base,2039,67.5,3.375,0.0,64.125,0.062,-29.216879999999996,0.0,0.0,0.0,471.23999999999995,338.76000000000005,12.0,810.0,0.5817777777777777,0.29539375928677564,99.4,100.06758989598814
