metric,excel_value,python_value,abs_diff,rel_diff
equity_ticket,99.4,99.4,0.0,0.0
pg_share,0.2953937592867756,0.2953937592867756,0.0,0.0
irr,0.09746511933074989,0.09746511933074989,0.0,0.0
moic,2.4776289894042702,2.47762898940427,-4.440892098500626e-16,-1.7923959226713803e-16
total_equity_cf,136.35273131649333,136.35273131649325,-8.526512829121202e-14,-6.25327615134456e-16
total_distributions,228.63078778008918,228.63078778008912,-5.684341886080802e-14,-2.486253903629262e-16
terminal_equity_cf,100.06758989598814,100.0675898959881,-2.842170943040401e-14,-2.840251220194869e-16
final_debt_end,471.24,471.23999999999995,-5.684341886080802e-14,-1.20625199178355e-16
final_fcf_distribution,338.76000000000005,338.76000000000005,0.0,0.0
