Scenario,FY,gt_Net_CF_to_Consortium,py_Net_CF_to_Consortium,gt_Consortium_Fees,py_Consortium_Fees,gt_Interest_Rate,py_Interest_Rate,gt_Mandatory_Amort,py_Mandatory_Amort,gt_Debt_End,py_Debt_End,gt_FCF_for_Distribution,py_FCF_for_Distribution,gt_Equity_CF,py_Equity_CF,diff_Debt_End,diff_FCF_for_Distribution,diff_Equity_CF
Base,2024,46.8,46.8,0.2,0.2,0.062,0.062,0.0,0.0,325.0,325.0,24.109999999999992,24.109999999999992,-92.27805646359585,-92.27805646359585,0.0,0.0,0.0
Base,2025,50.3,50.3,0.0,0.0,0.056,0.056,0.0,0.0,325.0,325.0,29.585,29.584999999999997,8.739224368499256,8.739224368499254,0.0,-3.552713678800501e-15,-1.7763568394002505e-15
Base,2026,53.7,53.7,0.0,0.0,0.057,0.057,0.0,0.0,451.08,451.08000000000004,32.489999999999995,32.489999999999995,9.59734323922734,9.597343239227337,5.684341886080802e-14,0.0,-3.552713678800501e-15
Base,2027,56.3,56.3,0.0,0.0,0.057,0.057,0.0,0.0,451.08,451.08000000000004,27.77344,27.773439999999997,8.204100849925705,8.204100849925704,5.684341886080802e-14,-3.552713678800501e-15,-1.7763568394002505e-15
Base,2028,58.3,58.3,0.0,0.0,0.059,0.059,0.0,0.0,451.08,451.08000000000004,28.77128,28.771279999999997,8.498856558692422,8.49885655869242,5.684341886080802e-14,-3.552713678800501e-15,-1.7763568394002505e-15
Base,2029,59.5,59.5,0.0,0.0,0.059,0.059,0.0,0.0,471.24,471.23999999999995,29.91128,29.911279999999998,8.835605444279345,8.835605444279343,-5.684341886080802e-14,-3.552713678800501e-15,-1.7763568394002505e-15
Base,2030,60.3,60.3,0.0,0.0,0.06,0.06,0.0,0.0,471.24,471.23999999999995,29.0106,29.0106,8.569550193164932,8.569550193164932,-5.684341886080802e-14,0.0,0.0
Base,2031,61.2,61.2,0.0,0.0,0.06,0.06,0.0,0.0,471.24,471.23999999999995,29.865600000000004,29.865600000000004,8.822111857355127,8.822111857355125,-5.684341886080802e-14,0.0,-1.7763568394002505e-15
Base,2032,62.2,62.2,0.0,0.0,0.061,0.061,0.0,0.0,471.24,471.23999999999995,30.344360000000005,30.344360000000005,8.963534573551264,8.963534573551263,-5.684341886080802e-14,0.0,-1.7763568394002505e-15
Base,2033,63.3,63.3,0.0,0.0,0.061,0.061,0.0,0.0,471.24,471.23999999999995,31.38936,31.38936,9.272221052005944,9.272221052005943,-5.684341886080802e-14,0.0,-1.7763568394002505e-15
Base,2034,64.3,64.3,0.0,0.0,0.062,0.062,0.0,0.0,471.24,471.23999999999995,31.86812,31.868119999999998,9.41364376820208,9.413643768202078,-5.684341886080802e-14,-3.552713678800501e-15,-1.7763568394002505e-15
Base,2035,65.1,65.1,0.0,0.0,0.062,0.062,0.0,0.0,471.24,471.23999999999995,32.62812,32.628119999999996,9.638143025260028,9.638143025260026,-5.684341886080802e-14,-7.105427357601002e-15,-1.7763568394002505e-15
Base,2036,65.8,65.8,0.0,0.0,0.062,0.062,0.0,0.0,471.24,471.23999999999995,33.29312,33.29312,9.834579875185735,9.834579875185735,-5.684341886080802e-14,0.0,0.0
Base,2037,66.4,66.4,0.0,0.0,0.062,0.062,0.0,0.0,471.24,471.23999999999995,33.86312000000001,33.86312000000001,10.0029543179792,10.0029543179792,-5.684341886080802e-14,0.0,0.0
Base,2038,67.0,67.0,0.0,0.0,0.062,0.062,0.0,0.0,471.24,471.23999999999995,34.43312,34.43312,10.17132876077266,10.171328760772658,-5.684341886080802e-14,0.0,-1.7763568394002505e-15
Base,2039,67.5,67.5,0.0,0.0,0.062,0.062,0.0,0.0,471.24,471.23999999999995,338.76000000000005,338.76000000000005,100.06758989598814,100.0675898959881,-5.684341886080802e-14,0.0,-2.842170943040401e-14
