Year,Revenue,Simple_Accrued,Structured_Accrued,Applied_Rate,Floor_Topup,Deferred_to_Reserve,Catchup_Released,Milestone
1,80.0,4.0,4.0,0.04,0.7999999999999998,0.0,0.0,0.0
2,92.0,4.6000000000000005,4.0,0.04,0.31999999999999984,0.0,0.0,0.0
3,105.0,5.25,4.2,0.04,0.0,0.0,0.0,0.0
4,118.0,5.9,4.72,0.04,0.0,0.0,0.0,0.0
5,132.0,6.6000000000000005,6.445,0.055,0.0,0.815,0.0,0.0
6,148.0,7.4,7.105,0.055,0.0,1.0350000000000001,0.0,0.0
7,165.0,8.25,19.4,0.07,0.0,0.0,1.85,6.0
8,172.0,8.6,12.040000000000001,0.07,0.0,0.0,0.0,0.0
9,160.0,8.0,3.0900000000000016,0.07,0.0,0.0,0.0,0.0
10,150.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
